full_name,pdes,name,neo,pha,class,e,a,q,i,om,w,ma,epoch,per,per_y,n,ad,H,G,diameter,extent,albedo,rot_per,GM,density,BV,UB,IR,spec_T,spec_B,condition_code,data_arc,n_obs_used,moid,moid_ld,t_jup
154807 (2004 PP97),154807,,Y,N,APO,0.3165,1.484,1.014,15.53,15.07,68.74,291.42,2461200.5,660,1.81,0.5453,1.95,18.56,,0.469,,0.319,161,,,,,,,,0,17413,1407,0.146,56.9,4.48
154988 (2004 XN35),154988,,Y,N,APO,0.6803,1.505,0.481,9.82,132.97,190.00,257.97,2461200.5,675,1.85,0.5336,2.53,18.39,,,,,,,,,,,,,0,9509,396,0.152,59.3,4.23
154991 Vinciguerra (2005 BX26),154991,Vinciguerra,Y,N,AMO,0.3228,1.705,1.154,5.63,245.45,269.64,242.69,2461200.5,813,2.23,0.4428,2.25,18.57,,,,,,,,,,,,,0,13742,426,0.195,76,4.13
154993 (2005 EA94),154993,,Y,N,APO,0.6636,1.517,0.510,10.32,104.06,309.03,161.20,2461200.5,682,1.87,0.5277,2.52,17.99,,0.828,,0.195,13.761,,,,,,,,0,8727,559,0.075,29.2,4.23
155110 (2005 TB),155110,,Y,N,APO,0.3485,1.261,0.822,30.38,226.16,44.80,257.70,2461200.5,517,1.42,0.6957,1.70,17.46,,0.683,,0.379,3.479,,,,,,,,0,15052,1420,0.111,43.3,4.92
155140 (2005 UD),155140,,Y,N,APO,0.8724,1.275,0.163,28.61,19.65,207.67,157.29,2461200.5,526,1.44,0.6848,2.39,17.47,,,,,5.235,,,,,,,,0,15384,795,0.0766,29.8,4.51
155334 (2006 DZ169),155334,,Y,N,AMO,0.4095,2.034,1.201,6.61,14.59,276.35,282.85,2461200.5,1.06e+03,2.9,0.3398,2.87,17.24,,,,,4.682,,,,,,,,0,15493,1097,0.224,87,3.69
155336 (2006 GA1),155336,,Y,N,APO,0.7374,2.121,0.557,4.19,64.34,355.31,236.90,2461200.5,1.13e+03,3.09,0.3191,3.68,18.41,,,,,,,,,,,,,0,8354,148,0.0721,28.1,3.31
155338 (2006 MZ1),155338,,Y,Y,APO,0.4825,1.569,0.812,2.08,226.58,138.69,21.97,2461200.5,718,1.97,0.5013,2.33,20.40,,,,,,,,,,,,,0,1700,134,0.013,5.06,4.28
155340 (2006 SK198),155340,,Y,N,AMO,0.4652,2.109,1.128,9.23,260.52,352.56,256.81,2461200.5,1.12e+03,3.06,0.3218,3.09,16.29,,,,,,,,,,,,,0,8798,1111,0.114,44.5,3.58
155341 (2006 SA218),155341,,Y,N,AMO,0.2414,1.477,1.121,18.52,144.35,278.05,324.39,2461200.5,656,1.8,0.5488,1.83,18.23,,,,,32.8,,,,,,,,0,16555,1327,0.286,111,4.5
159399 (1998 UL1),159399,,Y,N,AMO,0.2139,1.527,1.200,41.97,214.84,353.28,42.68,2461200.5,689,1.89,0.5224,1.85,16.50,,,,,4.01,,,,,,,,0,10181,2474,0.196,76.2,4.2
159402 (1999 AP10),159402,,Y,N,AMO,0.5717,2.38,1.019,7.57,356.81,47.65,188.18,2461200.5,1.34e+03,3.67,0.2685,3.74,16.61,,,,,7.9219,,,,,,,,0,9979,2112,0.0764,29.7,3.29
159454 (2000 DJ8),159454,,Y,N,AMO,0.2527,1.411,1.055,37.75,139.52,262.96,340.94,2461200.5,612,1.68,0.588,1.77,18.04,,0.577,,0.367,14.245,,,,,,,,0,9180,912,0.246,95.9,4.48
159459 (2000 KB),159459,,Y,N,APO,0.7989,2.336,0.470,56.17,185.35,185.38,82.95,2461200.5,1.3e+03,3.57,0.276,4.20,16.30,,1.769,,0.187,,,,,,,,,0,9453,450,0.531,207,2.68
159467 (2000 QK25),159467,,Y,N,AMO,0.2828,1.809,1.298,6.14,138.77,240.43,186.87,2461200.5,889,2.43,0.405,2.32,18.33,,,,,3,,,,,,,,0,9388,714,0.315,122,4
159495 (2000 UV16),159495,,Y,N,AMO,0.4823,2.35,1.217,4.06,341.66,352.75,69.58,2461200.5,1.32e+03,3.6,0.2736,3.48,17.46,,,,,,,,,,,,,0,13348,407,0.206,80.2,3.39
159504 (2000 WO67),159504,,Y,Y,APO,0.6170,2.434,0.932,9.69,107.56,237.80,294.82,2461200.5,1.39e+03,3.8,0.2596,3.94,16.96,,2.324,,0.052,2.941,,,,,,,,0,9302,748,0.0496,19.3,3.2
159518 (2001 FF7),159518,,Y,N,AMO,0.4452,2.104,1.167,47.47,190.08,59.44,74.14,2461200.5,1.11e+03,3.05,0.3229,3.04,18.01,,1.784,,0.038,,,,,,,,,0,8771,281,0.341,133,3.24
159533 (2001 HH31),159533,,Y,N,AMO,0.2891,1.654,1.176,12.85,71.60,275.99,193.34,2461200.5,777,2.13,0.4632,2.13,17.66,,,,,3.66,,,,,,,,0,10372,897,0.291,113,4.2
159555 (2001 SJ276),159555,,Y,N,AMO,0.2300,1.63,1.255,29.44,214.93,123.47,329.27,2461200.5,760,2.08,0.4735,2.01,18.69,,,,,,,,,,,,,0,9005,214,0.35,136,4.14
159560 (2001 TO103),159560,,Y,N,AMO,0.4352,2.214,1.250,25.69,42.07,261.86,227.00,2461200.5,1.2e+03,3.29,0.2993,3.18,17.14,,1.156,,0.209,,,,,,,,,0,8891,667,0.473,184,3.41
159608 (2002 AC2),159608,,Y,N,AMO,0.3520,1.674,1.085,58.88,102.68,208.19,259.37,2461200.5,791,2.17,0.455,2.26,16.59,,,,,,,,,,,,,0,8767,681,0.101,39.5,3.66
159609 (2002 AQ3),159609,,Y,N,AMO,0.4625,2.112,1.135,40.01,124.20,243.49,39.37,2461200.5,1.12e+03,3.07,0.3212,3.09,17.23,,,,,,,,,,,,,0,8575,468,0.314,122,3.33
159635 (2002 CZ46),159635,,Y,N,AMO,0.3242,1.703,1.151,16.24,173.35,246.45,36.57,2461200.5,812,2.22,0.4433,2.26,18.16,,,,,,,,,,,,,0,8555,731,0.261,102,4.09
159677 (2002 HQ11),159677,,Y,N,APO,0.5951,1.851,0.749,6.07,153.15,322.43,239.27,2461200.5,920,2.52,0.3913,2.95,19.45,,,,,,,,,,,,,0,3817,151,0.0558,21.7,3.76
159686 (2002 LB6),159686,,Y,N,APO,0.6879,1.804,0.563,24.73,244.73,141.05,288.15,2461200.5,885,2.42,0.4068,3.04,16.34,,1.845,,0.162,,,,,,,,,0,10612,926,0.283,110,3.66
159699 (2002 PQ142),159699,,Y,N,APO,0.7160,1.697,0.482,16.81,151.24,332.21,235.98,2461200.5,807,2.21,0.4459,2.91,17.60,,,,,,,,,,,,,0,8767,425,0.215,83.8,3.83
159856 (2004 JW6),159856,,Y,N,AMO,0.4658,2.154,1.151,9.76,143.89,174.54,314.74,2461200.5,1.15e+03,3.16,0.3117,3.16,17.98,,,,,,,,,,,,,0,15983,555,0.138,53.6,3.54
159857 (2004 LJ1),159857,,Y,Y,APO,0.5936,2.262,0.919,23.15,235.52,140.01,133.17,2461200.5,1.24e+03,3.4,0.2897,3.60,15.46,,3.070,,0.130,2.72627,,,,,,,,0,11390,3315,0.0149,5.8,3.28
159923 (2004 YJ32),159923,,Y,N,AMO,0.5251,2.521,1.197,7.53,118.70,234.21,195.50,2461200.5,1.46e+03,4,0.2462,3.84,16.45,,,,,,,,,,,,,0,10661,462,0.219,85.3,3.24
159928 (2005 CV69),159928,,Y,N,APO,0.4192,1.655,0.961,27.75,157.41,95.71,313.15,2461200.5,777,2.13,0.4631,2.35,18.00,,,,,,,,,,,,,0,13852,1251,0.219,85.1,4.05
159929 (2005 UK),159929,,Y,N,AMO,0.4078,1.887,1.117,54.42,222.54,19.58,113.90,2461200.5,946,2.59,0.3804,2.66,17.72,,2.620,,0.026,33.4,,,,,,,,0,18100,367,0.127,49.5,3.4
161989 Cacus (1978 CA),161989,Cacus,Y,Y,APO,0.2139,1.123,0.883,26.07,161.20,102.10,115.93,2461200.5,434,1.19,0.8286,1.36,17.31,,1.9,,0.09,3.7538,,,0.910,0.484,,S,,0,16425,1798,0.0146,5.69,5.45
161995 (1983 LB),161995,,Y,N,AMO,0.4781,2.289,1.195,25.24,81.15,220.80,139.90,2461200.5,1.26e+03,3.46,0.2846,3.38,17.27,,,,,,,,,,,,,0,15537,483,0.249,96.8,3.33
161998 (1988 PA),161998,,Y,N,AMO,0.4063,2.147,1.275,8.23,162.05,137.63,14.89,2461200.5,1.15e+03,3.15,0.3133,3.02,17.59,,,,,13.4,,,,,,,,0,13915,503,0.278,108,3.59
161999 (1989 RC),161999,,Y,N,AMO,0.5136,2.317,1.127,7.39,140.05,181.58,164.82,2461200.5,1.29e+03,3.53,0.2795,3.51,18.80,,0.458,,0.211,,,,,,,,,0,12719,156,0.113,44.2,3.38
162000 (1990 OS),162000,,Y,Y,APO,0.4625,1.678,0.902,1.09,346.49,21.61,151.64,2461200.5,794,2.17,0.4534,2.45,19.64,,0.4,,,2.536,,,,,,,,0,13001,427,0.00898,3.5,4.11
162004 (1991 VE),162004,,Y,N,ATE,0.6646,0.8908,0.299,7.22,61.84,193.68,137.22,2461200.5,307,0.841,1.172,1.48,18.28,,,,,13.4895,,,,,,,,0,25965,1890,0.0575,22.4,6.46
162011 Konnohmaru (1994 AB1),162011,Konnohmaru,Y,N,AMO,0.5968,2.835,1.143,4.55,66.72,343.01,296.11,2461200.5,1.74e+03,4.77,0.2065,4.53,16.60,,,,,2.998,,,,,,,Sq,0,10714,511,0.154,60.1,3.02
162015 (1994 TF2),162015,,Y,N,ATE,0.2841,0.9934,0.711,23.75,175.21,349.80,223.29,2461200.5,362,0.99,0.9954,1.28,19.25,,,,,,,,,,,,Sr,1,3301,147,0.255,99.1,6
162038 (1996 DH),162038,,Y,N,AMO,0.2767,1.587,1.148,17.24,309.26,351.63,277.86,2461200.5,730,2,0.4931,2.03,16.69,,1.959,,0.105,7.16,,,,,,,,0,11017,1971,0.134,52.2,4.29
162039 (1996 JG),162039,,Y,Y,APO,0.6606,1.802,0.612,5.28,52.76,280.31,130.71,2461200.5,884,2.42,0.4073,2.99,18.91,,,,,,,,,,,,,0,10849,787,0.0124,4.82,3.77
162058 (1997 AE12),162058,,Y,N,AMO,0.5545,2.367,1.054,4.85,304.75,60.90,82.82,2461200.5,1.33e+03,3.64,0.2706,3.68,18.00,,0.847,,0.186,1880,,,,,,,,0,12246,887,0.0871,33.9,3.32
162063 (1997 EH29),162063,,Y,N,APO,0.6664,1.214,0.405,13.01,175.10,198.67,63.54,2461200.5,489,1.34,0.7367,2.02,18.96,,,,,,,,,,,,,0,10253,286,0.151,58.8,4.99
162080 (1998 DG16),162080,,Y,N,ATE,0.3582,0.8967,0.575,16.21,344.32,356.86,300.28,2461200.5,310,0.849,1.161,1.22,19.91,,0.777,,0.035,,,,,,,,,0,16470,723,0.188,73.2,6.55
162082 (1998 HL1),162082,,Y,Y,APO,0.1871,1.246,1.013,20.05,213.52,148.66,293.25,2461200.5,508,1.39,0.7084,1.48,19.12,,,,,11.7864,,,,,,,,0,9360,2120,0.0409,15.9,5.08
162116 (1998 SA15),162116,,Y,Y,APO,0.5584,1.916,0.846,7.11,114.17,331.46,130.67,2461200.5,969,2.65,0.3717,2.99,19.54,,0.538,,0.116,,,,,,,,,0,8971,91,0.047,18.3,3.71
162117 (1998 SD15),162117,,Y,N,ATE,0.3448,0.9326,0.611,26.80,183.91,35.88,23.62,2461200.5,329,0.901,1.094,1.25,19.04,,,,,7.33,,,,,,,,0,9937,792,0.11,42.9,6.29
162120 (1998 SH36),162120,,Y,Y,APO,0.5710,1.088,0.467,2.13,217.81,278.86,80.76,2461200.5,414,1.13,0.8687,1.71,20.64,,,,,,,,,,,,,0,10132,292,0.0121,4.69,5.53
162142 (1998 VR),162142,,Y,N,ATE,0.3178,0.8753,0.597,21.81,46.35,170.74,77.17,2461200.5,299,0.819,1.203,1.15,18.78,,0.462,,0.250,8.44,,,,,,,Sk,0,9902,773,0.151,58.6,6.67
162149 (1998 YQ11),162149,,Y,N,AMO,0.3966,1.874,1.131,11.93,256.53,245.83,243.13,2461200.5,937,2.57,0.3841,2.62,17.51,,,,,,,,,,,,,0,9709,2289,0.229,89.1,3.85
162157 (1999 CV8),162157,,Y,N,APO,0.3515,1.297,0.841,15.27,131.96,279.35,233.55,2461200.5,539,1.48,0.6673,1.75,19.95,,,,,,,,,,,,V,0,10041,162,0.0568,22.1,4.91
162161 (1999 DK3),162161,,Y,N,AMO,0.4425,2.116,1.180,43.15,149.68,103.02,274.75,2461200.5,1.12e+03,3.08,0.3202,3.05,17.68,,,,,,,,,,,,,0,7688,168,0.448,174,3.29
162162 (1999 DB7),162162,,Y,Y,APO,0.1949,1.206,0.971,10.84,157.57,29.91,196.99,2461200.5,484,1.32,0.7445,1.44,19.99,,,,,,,,,,,,,0,9047,295,0.002,0.778,5.24
162168 (1999 GT6),162168,,Y,N,AMO,0.6013,2.778,1.108,4.03,201.35,84.11,248.91,2461200.5,1.69e+03,4.63,0.2128,4.45,17.35,,,,,3.85,,,,,,,,0,9774,827,0.117,45.6,3.04
162173 Ryugu (1999 JU3),162173,Ryugu,Y,Y,APO,0.1911,1.191,0.963,5.87,251.29,211.61,62.34,2461200.5,475,1.3,0.7584,1.42,19.55,,0.896,1.004x0.876,0.045,7.63262,3.00e-8,1.19,,,,,Cb,0,14345,5124,0.000539,0.21,5.3
162181 (1999 LF6),162181,,Y,N,APO,0.2806,1.41,1.014,18.94,208.49,140.87,355.03,2461200.5,611,1.67,0.5889,1.81,18.20,,0.729,,0.175,37.26,,,,,,,,0,16459,1914,0.0637,24.8,4.64
162183 (1999 NB5),162183,,Y,Y,APO,0.5348,2.073,0.964,1.43,235.31,123.17,341.24,2461200.5,1.09e+03,2.98,0.3302,3.18,21.25,,,,,,,,,,,,,0,6765,188,0.013,5.08,3.58
162186 (1999 OP3),162186,,Y,N,AMO,0.6116,2.708,1.052,27.59,310.66,271.92,44.88,2461200.5,1.63e+03,4.46,0.2211,4.36,15.03,,,,,8.36,,,,,,,,0,13169,1673,0.374,145,2.93
162195 (1999 RK45),162195,,Y,N,APO,0.7731,1.598,0.363,5.89,119.99,4.17,51.51,2461200.5,738,2.02,0.4879,2.83,19.50,,,,,,,,,,,,,0,9487,175,0.0878,34.2,3.96
162196 (1999 RL45),162196,,Y,N,AMO,0.3748,1.826,1.142,22.43,171.90,234.32,267.11,2461200.5,902,2.47,0.3993,2.51,18.79,,,,,,,,,,,,,0,9324,250,0.241,93.7,3.86
162210 (1999 SM5),162210,,Y,N,APO,0.6980,2.302,0.695,5.32,326.28,320.90,250.22,2461200.5,1.28e+03,3.49,0.2821,3.91,19.30,,,,,6.23,,,,,,,,0,7745,404,0.0544,21.2,3.21
162214 (1999 TC10),162214,,Y,N,APO,0.5858,2.324,0.963,19.15,27.66,58.82,172.80,2461200.5,1.29e+03,3.54,0.2782,3.69,18.86,,,,,,,,,,,,,0,9331,104,0.119,46.3,3.26
162215 (1999 TL12),162215,,Y,N,APO,0.4365,1.082,0.609,17.34,202.30,346.79,86.90,2461200.5,411,1.12,0.8761,1.55,19.17,,,,,,,,,,,,,0,9932,395,0.257,99.8,5.59
162269 (1999 VO6),162269,,Y,N,APO,0.7379,1.135,0.298,40.13,206.81,302.54,301.99,2461200.5,442,1.21,0.8147,1.97,16.97,,1.010,,0.274,,,,,,,,,0,11728,933,0.0772,30,5.07
162273 (1999 VL12),162273,,Y,N,AMO,0.2362,1.594,1.217,20.18,234.38,40.96,197.58,2461200.5,735,2.01,0.4898,1.97,17.27,,,,,7.38,,,,,,,,0,11789,2499,0.248,96.3,4.27
162361 (2000 AF6),162361,,Y,Y,ATE,0.4109,0.8749,0.515,2.71,109.72,201.53,190.56,2461200.5,299,0.818,1.204,1.23,20.24,,,,,3.4558,,,,,,,,0,11715,506,0.0224,8.73,6.69
162385 (2000 BM19),162385,,Y,N,ATE,0.3587,0.7405,0.475,6.88,70.20,247.74,255.13,2461200.5,233,0.637,1.547,1.01,18.59,,0.812,,0.115,9.463,,,,,,,O,0,9546,334,0.0834,32.4,7.73
162416 (2000 EH26),162416,,Y,Y,APO,0.4781,1.854,0.967,0.40,215.25,19.25,118.07,2461200.5,922,2.52,0.3904,2.74,21.67,,,,,24,,,,,,,,0,1944,59,0.00104,0.406,3.85
162421 (2000 ET70),162421,,Y,Y,ATE,0.1239,0.9466,0.829,22.32,331.11,46.05,313.59,2461200.5,336,0.921,1.07,1.06,18.11,,,,,8.947,,,,,,,,0,17851,743,0.0303,11.8,6.28
162422 (2000 EV70),162422,,Y,Y,APO,0.5310,1.207,0.566,1.40,108.92,314.52,326.76,2461200.5,484,1.33,0.7432,1.85,20.60,,,,,,,,,,,,,0,8820,249,0.0119,4.62,5.13
162433 (2000 FK10),162433,,Y,N,APO,0.4816,1.359,0.704,13.94,41.63,247.05,139.96,2461200.5,579,1.58,0.6221,2.01,19.36,,,,,,,,,,,,,0,9047,260,0.0662,25.8,4.7
162452 (2000 HO14),162452,,Y,N,AMO,0.4454,2.265,1.256,5.45,217.23,54.12,218.44,2461200.5,1.25e+03,3.41,0.2891,3.27,18.50,,,,,,,,,,,,,0,15174,272,0.255,99.2,3.47
162463 (2000 JH5),162463,,Y,N,APO,0.2381,1.146,0.873,22.21,80.17,353.59,234.18,2461200.5,448,1.23,0.8038,1.42,17.97,,1.048,,0.084,3.024,,,,,,,,0,9616,3386,0.111,43.1,5.39
162470 (2000 KX43),162470,,Y,N,APO,0.5531,1.113,0.497,35.27,83.74,31.79,126.90,2461200.5,429,1.17,0.8397,1.73,19.24,,,,,,,,,,,,,0,9518,101,0.269,105,5.3
162472 (2000 LL),162472,,Y,N,AMO,0.1184,1.259,1.110,31.86,245.63,66.90,105.68,2461200.5,516,1.41,0.698,1.41,19.22,,,,,,,,,,,,,0,9007,620,0.169,65.6,4.96
162474 (2000 LB16),162474,,Y,Y,APO,0.3574,1.241,0.797,50.71,80.84,285.24,231.30,2461200.5,505,1.38,0.7132,1.68,18.62,,,,,,,,,,,,,0,9502,282,0.00414,1.61,4.77
