full_name,pdes,name,neo,pha,class,e,a,q,i,om,w,ma,epoch,per,per_y,n,ad,H,G,diameter,extent,albedo,rot_per,GM,density,BV,UB,IR,spec_T,spec_B,condition_code,data_arc,n_obs_used,moid,moid_ld,t_jup
   433 Eros (A898 PA),433,Eros,Y,N,AMO,0.2229,1.458,1.133,10.83,304.27,178.92,62.51,2461200.5,643,1.76,0.5597,1.78,10.40,0.46,16.84,34.4x11.2x11.2,0.25,5.27,4.463e-04,2.67,0.921,0.531,,S,S,0,46582,9130,0.149,57.9,4.58
   719 Albert (A911 TB),719,Albert,Y,N,AMO,0.5466,2.637,1.196,11.57,183.86,156.18,286.68,2461200.5,1.56e+03,4.28,0.2302,4.08,15.59,,,,,5.801,,,,,,,S,0,41869,2147,0.202,78.5,3.14
   887 Alinda (A918 AA),887,Alinda,Y,N,AMO,0.5711,2.474,1.061,9.40,110.41,350.55,132.18,2461200.5,1.42e+03,3.89,0.2533,3.89,13.82,-0.12,4.2,,0.31,28.41,,,0.832,0.436,,S,,0,39281,5843,0.0801,31.2,3.22
  1036 Ganymed (A924 UB),1036,Ganymed,Y,N,AMO,0.5335,2.664,1.243,26.69,215.40,132.51,142.97,2461200.5,1.59e+03,4.35,0.2267,4.09,9.17,0.30,37.675,,0.238,10.297,,,0.842,0.417,,S,S,0,37140,13637,0.342,133,3.04
  1221 Amor (1932 EA1),1221,Amor,Y,N,AMO,0.4347,1.92,1.085,11.87,171.24,26.75,133.98,2461200.5,972,2.66,0.3706,2.75,17.37,,1.0,,,,,,,,,,,0,33947,686,0.109,42.4,3.78
  1566 Icarus (1949 MA),1566,Icarus,Y,Y,APO,0.8270,1.078,0.186,22.80,87.95,31.44,329.18,2461200.5,409,1.12,0.8806,1.97,16.53,,1.0,,0.51,2.2726,,,0.774,0.520,,,,0,27807,1792,0.0338,13.2,5.3
  1580 Betulia (1950 KA),1580,Betulia,Y,N,AMO,0.4876,2.195,1.125,52.19,62.22,159.71,140.91,2461200.5,1.19e+03,3.25,0.3031,3.27,14.54,0.00,5.8,,0.08,6.1324,,,0.656,0.249,,C,,0,26722,2255,0.134,52.2,3.07
  1620 Geographos (1951 RA),1620,Geographos,Y,Y,APO,0.3355,1.246,0.828,13.34,337.13,277.03,354.68,2461200.5,508,1.39,0.7088,1.66,15.27,,2.56,5.0x2.0x2.1,0.290,5.22204,,,0.862,0.471,,S,S,0,27363,9340,0.0295,11.5,5.07
  1627 Ivar (1929 SH),1627,Ivar,Y,N,AMO,0.3973,1.863,1.123,8.46,133.07,167.83,28.98,2461200.5,929,2.54,0.3876,2.60,12.79,0.60,9.12,,0.15,4.795,,,0.872,0.459,,S,S,0,35386,14469,0.11,42.9,3.88
  1685 Toro (1948 OA),1685,Toro,Y,N,APO,0.4360,1.368,0.771,9.38,274.21,127.27,205.91,2461200.5,584,1.6,0.6161,1.96,14.26,,3.4,,0.31,10.1995,,,0.880,0.470,,S,S,0,28515,5512,0.0509,19.8,4.71
  1862 Apollo (1932 HA),1862,Apollo,Y,Y,APO,0.5602,1.471,0.647,6.35,35.50,286.10,224.36,2461200.5,651,1.78,0.5526,2.29,16.09,0.09,1.5,,0.25,3.065,,,0.819,0.481,,Q,Q,0,34822,3695,0.0263,10.2,4.41
  1863 Antinous (1948 EA),1863,Antinous,Y,N,APO,0.6062,2.259,0.890,18.38,345.54,269.11,347.57,2461200.5,1.24e+03,3.4,0.2902,3.63,15.32,,2.1,,0.24,7.453,,,0.763,0.359,,SU,Sq,0,28643,1955,0.188,73.2,3.3
  1864 Daedalus (1971 FA),1864,Daedalus,Y,N,APO,0.6145,1.461,0.563,22.22,6.60,325.66,9.22,2461200.5,645,1.77,0.5582,2.36,14.83,,3.7,,0.273,8.572,,,0.830,0.500,,SQ,Sr,0,20100,6597,0.269,105,4.34
  1865 Cerberus (1971 UA),1865,Cerberus,Y,N,APO,0.4669,1.08,0.576,16.10,212.88,325.30,135.31,2461200.5,410,1.12,0.8782,1.58,16.77,,1.2,,0.22,6.8039,,,0.790,0.442,,S,S,0,19988,2499,0.156,60.9,5.59
  1866 Sisyphus (1972 XA),1866,Sisyphus,Y,N,APO,0.5381,1.893,0.875,41.21,63.45,293.09,216.35,2461200.5,952,2.61,0.3783,2.91,12.47,,8.48,,0.15,2.4,,,,,,,S,0,26128,10696,0.103,40.2,3.51
  1915 Quetzalcoatl (1953 EA),1915,Quetzalcoatl,Y,N,AMO,0.5703,2.545,1.094,20.40,162.92,347.77,70.15,2461200.5,1.48e+03,4.06,0.2427,4.00,18.38,0.10,0.5,,0.21,4.9,,,0.784,0.430,,SMU,,0,24702,55,0.11,42.8,3.12
  1916 Boreas (1953 RA),1916,Boreas,Y,N,AMO,0.4491,2.273,1.252,12.88,340.58,335.90,92.60,2461200.5,1.25e+03,3.43,0.2876,3.29,14.93,,3.5,,,3.4746,,,0.852,0.407,,S,S,0,26515,4171,0.253,98.5,3.44
  1917 Cuyo (1968 AA),1917,Cuyo,Y,N,AMO,0.5054,2.149,1.063,23.96,188.27,194.55,222.67,2461200.5,1.15e+03,3.15,0.3128,3.24,14.38,,5.7,,0.195,2.689,,,,,,,Sl,0,26337,4278,0.0718,27.9,3.44
  1943 Anteros (1973 EC),1943,Anteros,Y,N,AMO,0.2562,1.431,1.064,8.71,246.27,338.49,15.55,2461200.5,625,1.71,0.5758,1.80,15.66,,2.3,,0.17,2.86923,,,0.841,0.444,,S,L,0,19513,7236,0.0626,24.3,4.64
  1980 Tezcatlipoca (1950 LA),1980,Tezcatlipoca,Y,N,AMO,0.3647,1.71,1.086,26.87,246.54,115.46,299.71,2461200.5,816,2.24,0.4409,2.33,13.80,,4.3,,0.25,7.24612,,,0.955,0.455,,SU,Sl,0,27814,9363,0.245,95.3,4
  1981 Midas (1973 EA),1981,Midas,Y,Y,APO,0.6504,1.776,0.621,39.82,356.79,267.85,148.63,2461200.5,865,2.37,0.4163,2.93,15.28,,3.4,,,5.22,,,,,,,V,0,19295,2498,0.00385,1.5,3.61
  2059 Baboquivari (1963 UA),2059,Baboquivari,Y,N,AMO,0.5314,2.642,1.238,11.02,200.69,192.45,189.08,2461200.5,1.57e+03,4.29,0.2295,4.05,15.98,,,,,129.47,,,,,,,,0,22830,1561,0.245,95.4,3.15
  2061 Anza (1960 UA),2061,Anza,Y,N,AMO,0.5359,2.265,1.051,3.80,207.30,157.13,96.70,2461200.5,1.25e+03,3.41,0.2891,3.48,16.70,,2.6,,,6.712,,,0.825,0.350,,TCG:,,0,23892,2041,0.0549,21.3,3.41
  2062 Aten (1976 AA),2062,Aten,Y,N,ATE,0.1829,0.967,0.790,18.94,108.53,148.07,239.96,2461200.5,347,0.951,1.037,1.14,17.11,,1.1,,0.26,42.15,,,0.930,0.460,,S,Sr,0,23339,1024,0.113,44.1,6.18
  2063 Bacchus (1977 HB),2063,Bacchus,Y,N,APO,0.3492,1.078,0.701,9.43,33.02,55.39,50.93,2461200.5,409,1.12,0.8812,1.45,17.21,,1.024,1.11 x 0.53 x 0.50,0.203,14.904,,,,,,,Sq,0,17584,1561,0.067,26.1,5.67
  2100 Ra-Shalom (1978 RA),2100,Ra-Shalom,Y,N,ATE,0.4365,0.832,0.469,15.76,170.76,356.08,148.84,2461200.5,277,0.759,1.299,1.20,16.24,0.12,2.3,,0.13,19.797,,,0.712,0.310,,C,Xc,0,18577,4225,0.15,58.3,6.95
  2101 Adonis (1936 CA),2101,Adonis,Y,Y,APO,0.7641,1.874,0.442,1.32,349.41,43.71,101.34,2461200.5,937,2.57,0.3843,3.31,18.69,,0.6,,,,,,,,,,,0,32656,155,0.0115,4.47,3.55
  2102 Tantalus (1975 YA),2102,Tantalus,Y,Y,APO,0.2994,1.29,0.904,64.00,94.35,61.51,121.88,2461200.5,535,1.47,0.6726,1.68,15.99,,1.649,,0.245,2.384,,,,,,,Q,0,18481,2349,0.0426,16.6,4.45
  2135 Aristaeus (1977 HA),2135,Aristaeus,Y,Y,APO,0.5031,1.6,0.795,23.07,191.10,290.99,134.60,2461200.5,739,2.02,0.4871,2.40,18.05,,,,,,,,,,,,,1,15749,61,0.00967,3.77,4.13
  2201 Oljato (1947 XC),2201,Oljato,Y,Y,APO,0.7109,2.179,0.630,2.52,74.85,98.38,158.30,2461200.5,1.17e+03,3.22,0.3065,3.73,15.32,,1.80,,0.4328,26,,,,,,,Sq,0,34275,1880,0.00271,1.05,3.3
  2202 Pele (1972 RA),2202,Pele,Y,N,AMO,0.5128,2.291,1.116,8.74,169.90,217.97,166.47,2461200.5,1.27e+03,3.47,0.2843,3.47,16.99,,,,,,,,,,,,,0,19190,1407,0.143,55.7,3.4
  2212 Hephaistos (1978 SB),2212,Hephaistos,Y,N,APO,0.8346,2.167,0.358,11.20,26.54,210.48,10.01,2461200.5,1.17e+03,3.19,0.3089,3.98,13.45,,5.7,,0.163,48,,,0.766,0.397,,SG,,0,17487,5280,0.112,43.5,3.1
  2329 Orthos (1976 WA),2329,Orthos,Y,N,APO,0.6532,2.412,0.837,24.50,169.12,146.26,123.83,2461200.5,1.37e+03,3.75,0.263,3.99,14.57,,,,,4.6473,,,,,,,,0,18174,1999,0.0937,36.5,3.1
  2340 Hathor (1976 UA),2340,Hathor,Y,Y,ATE,0.4500,0.8437,0.464,5.86,211.21,40.20,96.29,2461200.5,283,0.775,1.272,1.22,20.41,,0.3,,,3.35,,,0.770,0.500,,CSU,Sq,0,16477,572,0.0064,2.49,6.88
  2368 Beltrovata (1977 RA),2368,Beltrovata,Y,N,AMO,0.4135,2.105,1.235,5.22,287.29,43.03,352.37,2461200.5,1.12e+03,3.05,0.3227,2.98,15.18,,2.3,,0.27,5.786,,,0.830,0.520,,SQ,,0,17875,3000,0.232,90.3,3.62
  2608 Seneca (1978 DA),2608,Seneca,Y,N,AMO,0.5647,2.531,1.101,14.43,166.42,38.71,59.69,2461200.5,1.47e+03,4.03,0.2448,3.96,17.48,,0.9,,0.21,8,,,0.826,0.454,,S,,1,16284,83,0.154,60,3.17
  3102 Krok (1981 QA),3102,Krok,Y,N,AMO,0.4492,2.151,1.185,8.44,172.04,154.77,69.21,2461200.5,1.15e+03,3.16,0.3123,3.12,16.16,,1.6,,,149.4,,,0.834,0.521,,QRS,S,0,16182,2950,0.184,71.5,3.56
  3103 Eger (1982 BB),3103,Eger,Y,N,APO,0.3541,1.404,0.907,20.93,129.73,254.10,299.62,2461200.5,608,1.66,0.5924,1.90,15.30,,1.5,,0.64,5.7103,,,0.732,0.235,,,Xe,0,16265,8927,0.0791,30.8,4.61
  3122 Florence (1981 ET3),3122,Florence,Y,Y,AMO,0.4232,1.769,1.020,22.14,336.04,27.87,252.07,2461200.5,859,2.35,0.4189,2.52,14.08,,4.9,,0.231,2.3581,,,,,,,S,0,17317,10304,0.0439,17.1,3.92
  3199 Nefertiti (1982 RA),3199,Nefertiti,Y,N,AMO,0.2841,1.575,1.127,32.96,339.97,53.45,18.25,2461200.5,722,1.98,0.4989,2.02,14.99,,2.2,,0.42,3.021,,,0.895,0.418,,S,Sq,0,15656,4141,0.215,83.8,4.19
  3200 Phaethon (1983 TB),3200,Phaethon,Y,Y,APO,0.8897,1.271,0.140,22.31,265.10,322.30,301.49,2461200.5,524,1.43,0.6875,2.40,14.38,,6.25,,0.1066,3.604,,,,,,F,B,0,15468,8544,0.0187,7.29,4.51
  3271 Ul (1982 RB),3271,Ul,Y,N,AMO,0.3954,2.103,1.271,25.08,158.77,159.18,138.59,2461200.5,1.11e+03,3.05,0.3233,2.93,16.55,,,,,,,,,,,,,0,15854,315,0.277,108,3.53
  3288 Seleucus (1982 DV),3288,Seleucus,Y,N,AMO,0.4545,2.034,1.110,5.93,218.57,349.41,84.81,2461200.5,1.06e+03,2.9,0.3397,2.96,15.34,,2.8,,0.22,75,,,0.910,0.500,,S,K,0,16230,2820,0.106,41.4,3.67
  3352 McAuliffe (1981 CW),3352,McAuliffe,Y,N,AMO,0.3691,1.879,1.185,4.77,107.33,16.11,217.39,2461200.5,941,2.58,0.3827,2.57,15.93,,,,,2.206,,,,,,,A,0,16620,3142,0.203,78.8,3.88
  3360 Syrinx (1981 VA),3360,Syrinx,Y,N,APO,0.7483,2.465,0.620,21.01,241.89,64.04,202.09,2461200.5,1.41e+03,3.87,0.2547,4.31,16.03,,1.8,,0.17,,,,,,,,,0,16137,674,0.109,42.3,2.96
  3361 Orpheus (1982 HR),3361,Orpheus,Y,Y,APO,0.3228,1.209,0.819,2.65,188.26,302.86,108.70,2461200.5,486,1.33,0.741,1.60,19.50,,0.3,,0.357,3.5327,,,1.022,0.503,,,,0,16130,3216,0.0145,5.64,5.21
  3362 Khufu (1984 QA),3362,Khufu,Y,Y,ATE,0.4685,0.9895,0.526,9.92,152.40,55.09,240.65,2461200.5,360,0.984,1.001,1.45,18.52,,0.7,,0.21,,,,,,,,,1,7394,262,0.0132,5.12,6.02
  3551 Verenia (1983 RD),3551,Verenia,Y,N,AMO,0.4868,2.093,1.074,9.51,173.77,193.31,38.40,2461200.5,1.11e+03,3.03,0.3255,3.11,16.72,,0.9,,0.37,4.93,,,0.839,0.481,,V,,0,15268,667,0.0749,29.1,3.58
  3552 Don Quixote (1983 SA),3552,Don Quixote,Y,N,AMO,0.7074,4.271,1.250,31.05,349.97,316.49,330.62,2461200.5,3.22e+03,8.83,0.1117,7.29,13.02,,19.0,,0.03,6.665,,,,,,D,D,0,15629,1774,0.342,133,2.32
  3553 Mera (1985 JA),3553,Mera,Y,N,AMO,0.3200,1.645,1.118,36.77,232.48,288.90,210.08,2461200.5,770,2.11,0.4673,2.17,16.41,,,,,3.1944,,,,,,,,0,14686,2315,0.295,115,4.02
  3554 Amun (1986 EB),3554,Amun,Y,N,ATE,0.2805,0.9739,0.701,23.36,358.59,359.42,121.80,2461200.5,351,0.961,1.026,1.25,15.91,,3.341,,0.074,2.53001,,,0.707,0.235,,,,0,12044,1979,0.251,97.7,6.11
  3671 Dionysus (1984 KD),3671,Dionysus,Y,Y,APO,0.5440,2.197,1.002,13.53,82.01,204.48,312.61,2461200.5,1.19e+03,3.26,0.3028,3.39,16.50,,1.5,,0.16,2.7053,,,,,,,Cb,0,15365,1191,0.0158,6.13,3.43
  3691 Bede (1982 FT),3691,Bede,Y,N,AMO,0.2844,1.774,1.270,20.35,348.69,235.04,235.34,2461200.5,863,2.36,0.417,2.28,14.93,,4.3,,0.515,226.8,,,,,,,Xc,0,18500,8370,0.352,137,3.98
  3752 Camillo (1985 PA),3752,Camillo,Y,N,APO,0.3016,1.414,0.987,55.56,147.95,312.24,0.62,2461200.5,614,1.68,0.5864,1.84,15.14,,2.306,,0.210,37.846,,,,,,,,0,18145,3246,0.0785,30.6,4.24
  3753 Cruithne (1986 TO),3753,Cruithne,Y,N,ATE,0.5149,0.9978,0.484,19.80,126.19,43.88,182.13,2461200.5,364,0.997,0.9889,1.51,15.42,,2.071,,0.365,27.3099,,,,,,,Q,0,19283,1696,0.0707,27.5,5.92
  3757 Anagolay (1982 XB),3757,Anagolay,Y,Y,APO,0.4458,1.835,1.017,3.87,74.93,17.25,171.67,2461200.5,908,2.49,0.3966,2.65,19.01,,0.5,,0.18,9.012,,,0.859,0.522,,S,,0,15208,211,0.0367,14.3,3.9
  3838 Epona (1986 WA),3838,Epona,Y,N,APO,0.7026,1.505,0.448,29.18,235.43,49.76,186.09,2461200.5,674,1.85,0.5338,2.56,15.67,,,,,2.3812,,,,,,,,0,14334,2474,0.159,61.8,4.13
  3908 Nyx (1980 PA),3908,Nyx,Y,N,AMO,0.4590,1.928,1.043,2.19,261.19,126.67,26.61,2461200.5,978,2.68,0.3682,2.81,17.45,,1.0,,0.23,4.42601,,,,,,V,V,0,16395,1985,0.0564,21.9,3.78
  3988 Huma (1986 LA),3988,Huma,Y,N,AMO,0.3169,1.544,1.055,10.77,229.76,86.98,264.37,2461200.5,701,1.92,0.5135,2.03,17.95,,0.7,,,10.53,,,,,,,,0,14563,714,0.178,69.1,4.38
  4015 Wilson-Harrington (1979 VA),4015,Wilson-Harrington,Y,Y,APO,0.6308,2.627,0.970,2.80,266.72,95.50,320.73,2461200.5,1.55e+03,4.26,0.2315,4.28,16.16,,4,,0.05,3.5736,,,0.666,0.279,,CF,,0,27524,1522,0.0431,16.8,3.08
  4034 Vishnu (1986 PA),4034,Vishnu,Y,Y,APO,0.4440,1.059,0.589,11.17,157.86,296.71,82.74,2461200.5,398,1.09,0.9039,1.53,18.50,,0.42,,0.52,44.4,,,,,,,O,0,14574,1333,0.0192,7.46,5.71
  4055 Magellan (1985 DO2),4055,Magellan,Y,N,AMO,0.3259,1.821,1.227,23.26,164.79,154.45,148.07,2461200.5,897,2.46,0.4012,2.41,14.90,,2.49,,0.31,7.475,,,,,,V,V,0,15053,11571,0.239,93.2,3.89
  4179 Toutatis (1989 AC),4179,Toutatis,Y,Y,APO,0.6246,2.543,0.955,0.45,125.37,277.86,125.52,2461200.5,1.48e+03,4.06,0.243,4.13,15.29,0.10,5.4,1.70x2.03x4.26,0.405,176.,,,,,,,Sk,0,33698,7141,0.00651,2.53,3.14
  4183 Cuno (1959 LM),4183,Cuno,Y,Y,APO,0.6362,1.981,0.721,6.67,294.34,237.01,28.07,2461200.5,1.02e+03,2.79,0.3535,3.24,14.18,,3.651,,0.097,3.5595,,,,,,,Sq,0,24534,5423,0.0284,11,3.57
  4197 Morpheus (1982 TA),4197,Morpheus,Y,N,APO,0.7725,2.296,0.522,12.61,6.96,122.61,167.12,2461200.5,1.27e+03,3.48,0.2834,4.07,14.97,,1.8,,0.37,3.538,,,,,,,Sq,0,26275,1222,0.0986,38.4,3.09
  4257 Ubasti (1987 QA),4257,Ubasti,Y,N,APO,0.4683,1.647,0.876,40.72,169.14,278.95,80.69,2461200.5,772,2.11,0.4663,2.42,15.97,,,,,4.4,,,,,,,,0,14220,3307,0.17,66.1,3.91
  4341 Poseidon (1987 KF),4341,Poseidon,Y,N,APO,0.6801,1.834,0.587,11.84,108.02,15.84,282.04,2461200.5,907,2.48,0.3968,3.08,16.07,,3.177,,0.054,6.262,,,,,,,O,0,14316,960,0.194,75.6,3.69
  4401 Aditi (1985 TB),4401,Aditi,Y,N,AMO,0.5633,2.584,1.128,26.62,22.74,68.21,275.79,2461200.5,1.52e+03,4.15,0.2373,4.04,16.12,,1.801,,0.343,6.67,,,,,,,,0,13625,1320,0.334,130,3.06
  4450 Pan (1987 SY),4450,Pan,Y,Y,APO,0.5866,1.442,0.596,5.52,311.67,292.00,173.54,2461200.5,633,1.73,0.5691,2.29,17.27,,,,,56.48,,,,,,,,0,32459,1594,0.0289,11.2,4.46
  4486 Mithra (1987 SB),4486,Mithra,Y,Y,APO,0.6598,2.205,0.750,3.03,82.16,169.30,336.40,2461200.5,1.2e+03,3.27,0.301,3.66,15.62,,1.849,2.35 x 1.65 x 1.44,0.297,67.5,,,,,,,,0,14311,2070,0.0458,17.8,3.34
  4487 Pocahontas (1987 UA),4487,Pocahontas,Y,N,AMO,0.2964,1.73,1.217,16.41,198.09,173.97,355.68,2461200.5,831,2.28,0.433,2.24,17.48,,,,,,,,,,,,,0,13752,814,0.219,85.1,4.06
  4503 Cleobulus (1989 WM),4503,Cleobulus,Y,N,AMO,0.5247,2.704,1.285,2.51,45.94,76.25,60.83,2461200.5,1.62e+03,4.45,0.2217,4.12,15.82,,,,,2.8164,,,,,,,Sq,0,16634,1482,0.305,119,3.15
  4544 Xanthus (1989 FB),4544,Xanthus,Y,N,APO,0.2502,1.042,0.781,14.14,23.93,333.85,190.44,2461200.5,389,1.06,0.9266,1.30,17.39,,1.3,,,37.65,,,,,,,,0,13548,2939,0.174,67.6,5.83
  4581 Asclepius (1989 FC),4581,Asclepius,Y,Y,APO,0.3564,1.021,0.657,4.93,180.21,255.46,64.09,2461200.5,377,1.03,0.955,1.39,20.74,,,,,8.008,,,,,,,,0,11706,424,0.00382,1.49,5.92
  4596 (1981 QB),4596,,Y,N,AMO,0.5200,2.239,1.075,37.08,154.18,248.41,106.69,2461200.5,1.22e+03,3.35,0.2942,3.40,16.47,,,,,2.49101,,,,,,,,0,16301,972,0.296,115,3.22
  4660 Nereus (1982 DB),4660,Nereus,Y,Y,APO,0.3587,1.485,0.952,1.45,313.11,159.56,158.73,2461200.5,661,1.81,0.5446,2.02,18.75,,0.33,,0.55,15.1749,,,,,,,Xe,0,16336,5002,0.00402,1.56,4.5
  4688 (1980 WF),4688,,Y,N,AMO,0.5178,2.233,1.077,6.37,241.22,213.85,222.50,2461200.5,1.22e+03,3.34,0.2953,3.39,19.60,,0.6,,0.18,,,,0.930,0.463,,QU,V,0,14739,332,0.108,42.1,3.44
  4769 Castalia (1989 PB),4769,Castalia,Y,Y,APO,0.4832,1.063,0.549,8.89,325.50,121.45,143.61,2461200.5,400,1.1,0.8992,1.58,17.38,,1.4,,0.092,4.095,,,,,,,,0,13488,746,0.0204,7.94,5.68
  4947 Ninkasi (1988 TJ1),4947,Ninkasi,Y,N,AMO,0.1684,1.37,1.139,15.65,215.42,192.94,153.31,2461200.5,586,1.6,0.6146,1.60,18.07,,,,,21.1,,,,,,,Sq,0,17619,994,0.149,58,4.77
  4953 (1990 MU),4953,,Y,Y,APO,0.6576,1.621,0.555,24.38,77.52,77.94,211.44,2461200.5,754,2.06,0.4774,2.69,14.88,,,,,14.218,,,,,,,,0,19015,3362,0.0251,9.76,3.98
  4954 Eric (1990 SQ),4954,Eric,Y,N,AMO,0.4492,2.002,1.102,17.43,358.39,52.63,196.79,2461200.5,1.03e+03,2.83,0.3481,2.90,12.54,,10.8,,0.176,12.056,,,,,,,S,0,18693,7716,0.194,75.7,3.66
  4957 Brucemurray (1990 XJ),4957,Brucemurray,Y,N,AMO,0.2188,1.566,1.223,35.01,254.88,97.48,92.40,2461200.5,715,1.96,0.5032,1.91,15.05,,3.499,,0.132,2.892,,,,,,,S,0,18271,2654,0.425,165,4.2
  5011 Ptah (6743 P-L),5011,Ptah,Y,Y,APO,0.5002,1.636,0.818,7.41,10.62,105.97,96.28,2461200.5,764,2.09,0.471,2.45,16.64,,,,,56.3,,,,,,,,0,24003,782,0.0245,9.54,4.14
  5131 (1990 BG),5131,,Y,N,APO,0.5688,1.486,0.641,36.45,110.33,135.89,324.49,2461200.5,662,1.81,0.544,2.33,14.82,,,,,37.2,,,,,,,S,0,13219,2879,0.274,107,4.21
  5143 Heracles (1991 VL),5143,Heracles,Y,N,APO,0.7713,1.835,0.420,8.98,309.10,228.21,283.44,2461200.5,908,2.49,0.3966,3.25,14.04,,4.843,,0.227,2.7063,,,,,,,O,0,26554,5258,0.0575,22.4,3.58
  5189 (1990 UQ),5189,,Y,Y,APO,0.4781,1.552,0.810,3.58,135.04,160.01,203.52,2461200.5,706,1.93,0.5098,2.29,17.85,,,,,6.653,,,,,,,,0,12870,1628,0.0448,17.4,4.31
  5324 Lyapunov (1987 SL),5324,Lyapunov,Y,N,AMO,0.6073,2.977,1.169,19.70,351.94,321.27,217.08,2461200.5,1.88e+03,5.14,0.1918,4.79,15.35,,,,,,,,,,,,,0,13671,394,0.22,85.5,2.88
  5332 Davidaguilar (1990 DA),5332,Davidaguilar,Y,N,AMO,0.4555,2.164,1.178,25.52,142.75,306.11,165.41,2461200.5,1.16e+03,3.18,0.3097,3.15,14.96,,3.6,,,5.803,,,,,,,,0,19284,7457,0.306,119,3.44
  5370 Taranis (1986 RA),5370,Taranis,Y,N,AMO,0.6372,3.318,1.204,19.18,177.77,161.27,188.76,2461200.5,2.21e+03,6.04,0.1631,5.43,15.23,,3.6,,0.037,,,,,,,,,0,14437,362,0.211,82.1,2.73
  5381 Sekhmet (1991 JY),5381,Sekhmet,Y,N,ATE,0.2964,0.9475,0.667,48.97,58.53,37.44,120.36,2461200.5,337,0.922,1.069,1.23,16.75,,0.935,,0.507,2.8233,,,,,,,,0,12875,1473,0.113,43.8,6.03
  5496 (1973 NA),5496,,Y,N,APO,0.6341,2.436,0.891,68.01,101.02,117.92,351.03,2461200.5,1.39e+03,3.8,0.2592,3.98,16.18,,,,,2.855,,,,,,,,0,19395,354,0.0959,37.3,2.53
  5587 (1990 SB),5587,,Y,N,AMO,0.5443,2.4,1.094,18.06,189.08,87.86,262.47,2461200.5,1.36e+03,3.72,0.2651,3.71,13.89,,3.57,,0.32,5.0522,,,,,,,Sq,0,26347,5086,0.312,121,3.25
  5590 (1990 VA),5590,,Y,N,ATE,0.2801,0.9864,0.710,14.18,216.25,34.50,269.55,2461200.5,358,0.98,1.006,1.26,19.91,,,,,,,,,,,,,2,2218,67,0.121,47.2,6.09
  5604 (1992 FE),5604,,Y,Y,ATE,0.4065,0.9299,0.552,4.70,311.93,82.77,209.48,2461200.5,328,0.897,1.099,1.31,17.32,,0.55,,0.48,5.3375,,,,,,,V,0,15082,1572,0.0334,13,6.37
  5620 Jasonwheeler (1990 OA),5620,Jasonwheeler,Y,N,AMO,0.4226,2.159,1.246,7.87,128.64,153.75,118.58,2461200.5,1.16e+03,3.17,0.3107,3.07,17.11,,,,,5.307,,,,,,,,0,25779,938,0.238,92.5,3.57
  5626 Melissabrucker (1991 FE),5626,Melissabrucker,Y,N,AMO,0.4545,2.195,1.197,3.85,173.08,231.91,21.85,2461200.5,1.19e+03,3.25,0.3031,3.19,14.33,,,,,2.48611,,,,,,,S,0,20154,4612,0.213,82.8,3.52
  5645 (1990 SP),5645,,Y,N,APO,0.3873,1.355,0.830,13.50,45.70,48.29,179.57,2461200.5,576,1.58,0.6251,1.88,17.23,,1.668,,0.121,30.39,,,,,,,,0,18965,1745,0.0542,21.1,4.76
  5646 (1990 TR),5646,,Y,N,AMO,0.4363,2.144,1.208,7.91,14.03,335.84,143.30,2461200.5,1.15e+03,3.14,0.314,3.08,15.51,,4.3,,0.223,3.1999,,,,,,,U,0,13131,2653,0.21,81.7,3.57
  5653 Camarillo (1992 WD5),5653,Camarillo,Y,N,AMO,0.3045,1.794,1.248,6.88,9.88,122.67,310.00,2461200.5,878,2.4,0.4102,2.34,16.22,,1.537,,0.271,4.834,,,,,,,,0,18857,3939,0.283,110,4.01
  5660 (1974 MA),5660,,Y,N,APO,0.7619,1.786,0.425,38.15,302.11,127.06,245.93,2461200.5,872,2.39,0.4131,3.15,15.38,,,,,17.5,,,,,,,Q,0,19004,729,0.163,63.4,3.51
  5693 (1993 EA),5693,,Y,Y,APO,0.5852,1.271,0.527,5.06,96.98,258.97,256.07,2461200.5,523,1.43,0.6882,2.01,16.78,,,,,2.496,,,,,,,,0,15464,3139,0.00586,2.28,4.89
  5731 Zeus (1988 VP4),5731,Zeus,Y,N,APO,0.6525,2.265,0.787,11.20,280.59,218.45,339.68,2461200.5,1.25e+03,3.41,0.2891,3.74,15.47,,5.231,,0.031,,,,,,,,,0,13554,1607,0.0649,25.2,3.28
  5751 Zao (1992 AC),5751,Zao,Y,N,AMO,0.4253,2.102,1.208,16.07,121.63,25.46,88.47,2461200.5,1.11e+03,3.05,0.3235,3.00,14.94,,2.3,,0.36,76,,,,,,,X,0,13645,3021,0.241,93.6,3.58
  5786 Talos (1991 RC),5786,Talos,Y,N,APO,0.8268,1.082,0.187,23.22,161.28,8.39,83.34,2461200.5,411,1.12,0.8763,1.98,17.14,,,,,23.6,,,,,,,,0,12761,1682,0.189,73.4,5.28
  5797 Bivoj (1980 AA),5797,Bivoj,Y,N,AMO,0.4444,1.894,1.052,4.19,298.91,168.68,296.20,2461200.5,952,2.61,0.3782,2.74,18.89,,0.4,,,2.706,,,,,,,,0,15950,458,0.0698,27.2,3.83
  5828 (1991 AM),5828,,Y,N,APO,0.6949,1.698,0.518,30.18,125.34,152.90,324.65,2461200.5,808,2.21,0.4455,2.88,15.98,,1.457,,0.331,2.6666,,,,,,,Q,0,12915,1696,0.399,155,3.77
